Data | Horas Trabalhadas	 | Tipo Tarefa		                                    |  Descrição da Tarefa Realizada

25/6   0:41:00		           Especificar os módulos		                       Estrutura do makefile e diretórios
26/6   2:50:00		           Codificar módulo                                            Assinatura das funções - renomeação das variáveis para o padrão
26/6   1:29:07		           Projetar                                                    Planejamento de funções e módulos
26/6   2:23:55		           Projetar                                                    Planejamento e arquiterura do programa
27/6   6:47:35		           Codificar módulo                                            Início de programação e implementação das bibliotecas
27/6   0:52:00		           Codificar módulo                                            Atualização dos headers e correção dos comentários
27/6   1:12:00		           Especificar as funções                                      Funções ligadas a cálculo do tempo de execução
28/6   1:33:49		           Projetar                                                    Primeira versão das bibliotecas concluída
28/6   1:27:00		           Projetar                                                    Correções das bibliotecas
29/6   1:26:05		           Rodar os CPPCheck e retirar warnings                        Debug
29/6   2:09:00		           Rodar os CPPCheck e retirar warnings                        Debug
30/6   1:15:00		           Especificar as funções                                      Correção do makefile para novo modelo e correção da função de atualização do tempo
30/6   3:25:04                     Documentar com Doxygen                                      Instalação do Doxygen, correção dos comentários fora do padrão e geração dos arquivos html
